Num,lat,lon,site_mean,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA,LNC,LPC,Vcmax,fLNR,EM_tree,AM_tree,lnBNF,,,,,,,,,ssss
1,79.09,-80,0.98,-20.12075,1367.361,172,76.52892,12718,NaN,0.008333334,97.56667,-15.51667,-21.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0.000499734,0.2777466,12.37213,0.8320453,NaN,NaN,NaN,0.8259912,0.1960937,-0.020202707,,,,,,,,,
2,78.53,-75.55,0.845,-17.97009,1275.067,164,71.58845,15822,NaN,0.008333334,95.63333,-14.39167,-19.90833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0.0005767,0.2570755,13.05853,0.6251272,NaN,NaN,NaN,0.8113725,0.216679,-0.168418652,,,,,,,,,
3,75.55,-84.666667,1.5841,-15.21562,1346.826,202,76.13238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0.000927449,0.291518,13.0547,NaN,NaN,NaN,NaN,0.8441616,0.1729021,0.460016423,,,,,,,,,
4,75.55,-84.4,36.30291168,-15.87059,1353.654,208,76.30458,NaN,NaN,0.04166667,101.0417,-11.45,-17.64167,0.1046,1.44,7,62,25,5,35,19.7,1.3,1000,0,0,NaN,0,NaN,NaN,0.000927449,0.2567425,13.2829,1.384957,NaN,NaN,NaN,0.8441616,0.1729021,3.59189795,,,,,,,,,
5,75.55,-84.67,35.83629101,-15.21562,1346.826,202,76.13238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0.000927449,0.291518,13.0547,NaN,NaN,NaN,NaN,0.8441616,0.1729021,3.578961095,,,,,,,,,
6,75,-84,3,-14.32661,1312.1,227,74.42483,8407,115.2126,0.05,101.6667,-10.15833,-16.26667,0.1046,1.44,7,62,25,5,35,19.7,1.3,1000,344.566,36.5585,0.2570351,0,NaN,NaN,0.000927449,0.2926721,13.29967,2.726607,1.599656,NaN,NaN,0.8488024,0.1698441,1.098612289,,,,,,,,,
7,70,20,1.6,1.63976,674.3249,719,22.97644,NaN,NaN,0.2416667,87.10833,6.175,-0.4,0.0792,1.38,6.4,63,15,8,22,10.6,0.7,600,143.384,10.9024,0.2409115,0,NaN,NaN,0.01181525,0.2248891,11.88211,7.570962,1.405699,NaN,NaN,0.8639326,0.143213,0.470003629,,,,,,,,,
8,69.45,27.01,2.356666667,-1.429927,971.872,432,46.64165,8808,281.8575,0.1916667,87.70834,3.708333,-4.783333,0.2159,0.89,3.9,68,22,9,27,198.9,3.8,800,223.65,25.519,0.240998,2718,0.37321,0.309,0.01359126,0.3352968,12.05046,16.34994,1.108182,60.54634,21.22974,0.9950149,0.006657185,0.857248191,,,,,,,,,
9,68.316667,18.833333,2.229095556,-3.123021,815.5307,649,28.5418,20489,150.5622,0.1083333,86.05833,0.3,-6.9,0.2734,1.02,4.8,56,32,10,24,90,4.5,600,184.316,15.7734,0.211842,439,0.5121231,NaN,0.01403489,0.2274104,12.9756,16.50655,1.516477,NaN,NaN,0.942887,0.06037981,0.801595923,,,,,,,,,
10,68.32,18.84,2.2,-3.123021,815.5307,649,28.5418,20489,150.5622,0.1083333,86.05833,0.3,-6.9,0.2734,1.02,4.8,56,32,10,24,90,4.5,600,184.316,15.7734,0.211842,439,0.5121231,NaN,0.01403489,0.2274104,12.9756,16.50655,1.516477,NaN,NaN,0.942887,0.06037981,0.78845736,,,,,,,,,
